"* Required Fields","* Pflichtfelder"
"Cancel","Abbrechen"
"To","An"
"Item %d of %d","Artikel %d von %d"
"Edit","Bearbeiten"
"Remove","Entfernen"
"Error while saving gift message","Fehler beim Speichern der Geschenknachricht"
"Enter a gift message for entire order.","Geben Sie eine Geschenknachricht für die gesamte Bestellung ein."
"Enter a gift message for this address.","Geben Sie eine Geschenknachricht für diese Adresse ein."
"Enter a gift message for each item in your order.","Geben Sie eine Geschenknachricht für jeden Artikel einzeln ein."
"Gift Message","Geschenknachricht"
"Edit Gift Message","Geschenknachricht ändern"
"Allow Gift Messages on Order Level","Geschenknachricht bei Bestellvorgang erlauben"
"Allow Gift Messages for Order Items","Geschenknachricht für bestellte Artikel erlauben"
"Add Gift Message","Geschenknachricht hinzufügen"
"Save Gift Message","Geschenknachricht speichern"
"Gift message has been successfully saved","Geschenknachricht wurde gespeichert"
"Gift Messages","Geschenknachrichten"
"Do you have any gift items in your order?","Haben Sie Geschenke in Ihrer Bestellung?"
"Add","Hinzufügen"
"Your gift message successfully removed","Ihre Geschenknachricht wurde entfernt"
"Your gift message has been successfully removed","Ihre Geschenknachricht wurde entfernt"
"Your gift message successfully saved","Ihre Geschenknachricht wurde gespeichert"
"Your gift message has been successfully saved","Ihre Geschenknachricht wurde gespeichert"
"Yes","Ja"
"Check this checkbox if you want to add gift messages to your items.","Ja, ich möchte für meine Artikel Geschenknachrichten eingeben."
"Check this checkbox if you want to add gift messages.","Ja, ich möchte Geschenknachrichten eingeben."
"Use config","Konfiguration benutzen"
"Message","Nachricht"
"No","Nein"
"Close","Schliessen"
"Are you sure?","Sind Sie sicher?"
"Save","Speichern"
"Unknown entity type","Ungültiger Entitätstyp"
"From","Von"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you don't wish to add a gift message for this address."
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you don't wish to add a gift message for whole order."
