"%s - Discounts and Coupons","%s - Rabatte und Gutscheine"
"%s - Special Discounts","%s - Sonderpreise"
"%s has reached a quantity of %s.","%s liegt jetzt bei einem Lagerbestand von %s."
"%s's Wishlist","%s's Wishlist"
"Current Status: %s<br/>","Aktueller Status: %s<br/>"
"To:","An:"
"Pendng product review(s)","Ausstehende Kundenmeinungen"
"Notified Date: %s<br/>","Benachrichtigt am: %s<br/>"
"Order #%s created at %s","Bestellung Nr. %s aufgegeben am %s"
"Order # %s Notification(s)","Bestellung Nr. %s Benachrichtigung(en)"
"Details for %s #%s","Details für %s Nr. %s"
"There are no %s.","Es sind keine %s verfügbar."
"Error in processing xml. %s","Fehler beim Verarbeiten des xml. %s"
"Purchased From: %s","Gekauft von: %s"
"Total: %s<br/>","Gesamt: %s<br/>"
"Grand Total","Gesamtsumme"
"Gift Message","Geschenknachricht"
"Coupons/Discounts","Gutscheine/Rabatte"
"Top Level Category","Hauptebenen-Kategorie"
"Catalog","Katalog"
"click <a href=""%s"">here</a> to view the review","Klicken Sie <a href=""%s"">hier</a>, um die Kundenmeinung anzuzeigen."
"Comment: %s<br/>","Kommentar: %s<br/>"
"Review: %s <br/>","Kundenmeinung: %s <br/>"
"Customer Name: %s","Kundenname: %s"
"Message:","Nachricht:"
"New Orders","Neue Bestellungen"
"New Products","Neue Produkte"
"New Products from %s","Neue Produkte von %s"
"Product: ""%s"" review By: %s","Produkt: ""%s"" Kundenmeinung von: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Low Stock Products","Produkte mit tiefem Lagerbestand"
"Products tagged with %s","Produkte, die mit %s verschlagwortet sind"
"Tags Products","Produktschlagworte"
"Discount ","Rabatt"
"Enable RSS","RSS einschalten"
"Rss Config","RSS Konfiguration"
"Get Feed","RSS-Feed abrufen"
"RSS Feeds","RSS-Feeds"
"Special/Discount Products","Sonder- und Rabattprodukte"
"Special Products","Sonderprodukte"
"Customer Order Status Notification","Statusbenachrichtigung Kundenbestellung "
"Tax","Steuer"
"Store: %s <br/>","Store: %s <br/>"
"Shipping & Handling","Versand & Bearbeitung"
"From:","Von:"
"Cannot retrieve the wishlist","Wunschliste kann nicht abgerufen werden"
"Wishlist","Wunschzettel"
"Summary of review: %s <br/>","Zusammenfassung der Kundenmeinung: %s <br/>"
"Subtotal","Zwischentotal"
