"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s wurde zu Ihrem Wunschzettel hinzugefügt. Klicken Sie <a href=""%2$s"">hier</a> um weiter einzukaufen"
"%s's Wishlist","%ss Wunschzettel"
"* Required Fields","* Pflichtfelder"
"Enabled","Aktiviert"
"Add All to Cart","Alles in den Warenkorb"
"General Options","Allgemeine Optionen"
"Product","Artikel"
"View Product","Artikel ansehen"
"Remove Item","Artikel entfernen"
"Add to Wishlist","Auf den Wunschzettel"
"There was an error while adding item to wishlist.","Beim Hinzufügen des Artikels zum Wunschzettel ist ein Fehler aufgetreten."
"There was an error while adding item to wishlist: %s","Beim Hinzufügen des Artikels zum Wunschzettel ist ein Fehler aufgetreten: %s"
"There was an error while deleting item from wishlist.","Beim Löschen des Artikels vom Wunschzettel ist ein Fehler aufgetreten."
"There was an error while deleting item from wishlist: %s","Beim Löschen des Artikels vom Wunschzettel ist ein Fehler aufgetreten: %s"
"Can't save description %s","Beschreibung %s konnte nicht gespeichert werden."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Bitte geben Sie eine gültige E-Mail-Adresse ein, oder trennen<br />Sie mehrere E-Mail-Adressen mit einem Komma!<br />Zum Beispiel m.muster@domain.ch, p.meier@domain.ch."
"Please, enter your comments...","Bitte geben Sie Ihre Kommentare ein..."
"Email Sender","E-Mail-Absender"
"Email addresses, separated by commas","E-Mail-Adressen, komma-getrennt"
"Email Template","E-Mail-Vorlage"
"Email address can't be empty.","Email-Adresse darf nicht leer sein."
"Share Your Wishlist","Geben Sie Ihren Wunschzettel weiter"
"Added On","Hinzugefügt am"
"Wishlist is empty now.","Ihr Wunschzettel ist nun leer."
"Your Wishlist was successfully shared","Ihr Wunschzettel wurde weitergegeben."
"Add to Cart","In den Warenkorb"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Ja, ich möchte einen Link auf den RSS-Feed meines Wunschzettels hinzufügen."
"Comment","Kommentar"
"Cannot create wishlist","Konnte Wunschzettel nicht anlegen"
"My Wishlist","Mein Wunschzettel"
"My Wishlist (%d item)","Mein Wunschzettel (%d Artikel)"
"My Wishlist (%d items)","Mein Wunschzettel (%d Artikel)"
"Message","Nachricht"
"Cannot specify product","Produkt kann nicht bestimmt werden"
"RSS Feed","RSS-Feed"
"RSS link to %s's wishlist","RSS-Link zu %ss Wunschzettel"
"You input not valid email address.","Sie haben eine ungültige E-Mail-Adresse angegeben."
"You have no items in your wishlist.","Sie haben keine Artikel auf Ihrem Wunschzettel."
"Are you sure you want to remove this product from your wishlist?","Sind Sie sich sicher, dass Sie dieses Produkt von Ihrem Wunschzettel entfernen möchten?"
"Are You sure?","Sind Sie sicher?"
"Sharing Information","Weitergabeinformationen"
"Share options","Weitergabeoptionen"
"Wishlist","Wunschzettel"
"Update Wishlist","Wunschzettel aktualisieren"
"Wishlist Sharing","Wunschzettel weitergeben"
"Share Wishlist","Wunschzettel weitergeben"
"Last Added Items","Zuletzt hinzugefügte Artikel"
"Go to Wishlist","Zum Wunschzettel"
"Back","Zurück"
